id,question,options,tags,active
"blogs_q_12","Do you value checklists in blog posts?","{""Yes"",""No"",""Sometimes"",""Not sure""}","{""blogs"",""transportation""}",true
"blogs_q_13","Would you read a series on seasonal event planning?","{""Yes"",""No"",""Maybe"",""Not sure""}","{""blogs"",""transportation""}",true
"blogs_q_14","Do you prefer local guides for city logistics?","{""Yes"",""No"",""Sometimes"",""Not sure""}","{""blogs"",""transportation""}",true
"blogs_q_15","Would you pay for premium in-depth reports?","{""Yes"",""No"",""Maybe"",""Not sure""}","{""blogs"",""transportation""}",true
"blogs_q_16","Do you follow blogs for maintenance tips?","{""Yes"",""No"",""Sometimes"",""Not sure""}","{""blogs"",""transportation""}",true
"blogs_q_17","Would you contribute guest posts about events?","{""Yes"",""No"",""Maybe"",""Not sure""}","{""blogs"",""transportation""}",true
"blogs_q_18","Do you like interviews with industry experts?","{""Yes"",""No"",""Sometimes"",""Not sure""}","{""blogs"",""transportation""}",true
"blogs_q_19","Are product/tool reviews helpful for planners?","{""Yes"",""No"",""Sometimes"",""Not sure""}","{""blogs"",""transportation""}",true
"blogs_q_20","Would you follow a blog about sustainable transport?","{""Yes"",""No"",""Sometimes"",""Not sure""}","{""blogs"",""transportation""}",true
"blogs_q_21","Do you prefer video or text blog content?","{""Video"",""Text"",""Both"",""No preference""}","{""blogs"",""transportation""}",true
"blogs_q_22","Would you like templates published in posts?","{""Yes"",""No"",""Sometimes"",""Not sure""}","{""blogs"",""transportation""}",true
"blogs_q_23","Do you enjoy behind-the-scenes stories from operators?","{""Yes"",""No"",""Sometimes"",""Not sure""}","{""blogs"",""transportation""}",true
"blogs_q_24","Would you follow a blog about booking tech?","{""Yes"",""No"",""Maybe"",""Not sure""}","{""blogs"",""transportation""}",true
"blogs_q_25","Are operational templates useful in posts?","{""Yes"",""No"",""Sometimes"",""Not sure""}","{""blogs"",""transportation""}",true
"blogs_q_26","Would you subscribe to a transportation newsletter?","{""Yes"",""No"",""Maybe"",""Not sure""}","{""blogs"",""transportation""}",true
"blogs_q_27","Do you prefer short actionable tips?","{""Yes"",""No"",""Sometimes"",""Depends""}","{""blogs"",""transportation""}",true
"blogs_q_28","Would you like calendar-based content (seasonal)?","{""Yes"",""No"",""Sometimes"",""Not sure""}","{""blogs"",""transportation""}",true
"blogs_q_29","Do you find supplier comparison posts useful?","{""Yes"",""No"",""Sometimes"",""Not sure""}","{""blogs"",""transportation""}",true
"blogs_q_30","Would you follow updates on regulations and compliance?","{""Yes"",""No"",""Sometimes"",""Not sure""}","{""blogs"",""transportation""}",true
"blogs_q_31","Do you appreciate downloadable resources in blogs?","{""Yes"",""No"",""Sometimes"",""Not sure""}","{""blogs"",""transportation""}",true
"blogs_q_32","Would you read a buyer’s guide for event transport?","{""Yes"",""No"",""Maybe"",""Not sure""}","{""blogs"",""transportation""}",true
"blogs_q_33","Do you find city-specific transport guides valuable?","{""Yes"",""No"",""Sometimes"",""Not sure""}","{""blogs"",""transportation""}",true
"blogs_q_34","Would you share posts on social media?","{""Yes"",""No"",""Sometimes"",""Not sure""}","{""blogs"",""transportation""}",true
"blogs_q_35","Do you value cost-saving blog series?","{""Yes"",""No"",""Sometimes"",""Not sure""}","{""blogs"",""transportation""}",true
"blogs_q_36","Would you like checklists for last-mile logistics?","{""Yes"",""No"",""Sometimes"",""Not sure""}","{""blogs"",""transportation""}",true
"blogs_q_37","Do you prefer case studies or how-tos?","{""Case studies"",""How-tos"",""Both"",""No preference""}","{""blogs"",""transportation""}",true
"blogs_q_38","Would you attend webinars hosted by blog authors?","{""Yes"",""No"",""Maybe"",""Not sure""}","{""blogs"",""transportation""}",true
"blogs_q_39","Do you like comparative analyses of vehicle types?","{""Yes"",""No"",""Sometimes"",""Not sure""}","{""blogs"",""transportation""}",true
"blogs_q_40","Would you pay for premium blog archives?","{""Yes"",""No"",""Maybe"",""Not sure""}","{""blogs"",""transportation""}",true
"blogs_q_41","Do you value expert roundups in posts?","{""Yes"",""No"",""Sometimes"",""Not sure""}","{""blogs"",""transportation""}",true
"blogs_q_42","Would you follow seasonal maintenance checklists?","{""Yes"",""No"",""Sometimes"",""Not sure""}","{""blogs"",""transportation""}",true
"blogs_q_43","Do you like photo-driven blog posts about vehicles?","{""Yes"",""No"",""Sometimes"",""Not sure""}","{""blogs"",""transportation""}",true
"blogs_q_44","Would you engage with polls embedded in blog posts?","{""Yes"",""No"",""Sometimes"",""Not sure""}","{""blogs"",""transportation""}",true
"blogs_q_45","Do you prefer regional vs national blog content?","{""Regional"",""National"",""Both"",""No preference""}","{""blogs"",""transportation""}",true
"blogs_q_46","Would you like downloadable planning templates from blogs?","{""Yes"",""No"",""Sometimes"",""Not sure""}","{""blogs"",""transportation""}",true
"blogs_q_47","Do you find vehicle spec comparisons helpful?","{""Yes"",""No"",""Sometimes"",""Not sure""}","{""blogs"",""transportation""}",true
"blogs_q_48","Would you follow a blog’s recommended vendors list?","{""Yes"",""No"",""Sometimes"",""Depends""}","{""blogs"",""transportation""}",true
"blogs_q_49","Do you like interactive content in blogs?","{""Yes"",""No"",""Sometimes"",""Not sure""}","{""blogs"",""transportation""}",true
"blogs_q_50","Would you sign up for news about regulatory changes?","{""Yes"",""No"",""Maybe"",""Not sure""}","{""blogs"",""transportation""}",true
"results_q_03","Would you filter results by city before booking?","{""Yes"",""No"",""Sometimes"",""Not sure""}","{""poll-results""}",true
"results_q_04","Do you prefer aggregated national results or local ones?","{""National"",""Local"",""Both"",""No preference""}","{""poll-results""}",true
"results_q_05","Would visual charts make poll results more useful?","{""Yes"",""No"",""Sometimes"",""Not sure""}","{""poll-results""}",true
"results_q_06","Do you trust results more with sample size shown?","{""Yes"",""No"",""Sometimes"",""Not sure""}","{""poll-results""}",true
"results_q_07","Would you like filters on poll results (date/city)?","{""Yes"",""No"",""Maybe"",""Not sure""}","{""poll-results""}",true
"results_q_08","Do you prefer percent or raw counts in results?","{""Percent"",""Raw counts"",""Both"",""No preference""}","{""poll-results""}",true
"results_q_09","Would you use poll results to choose vehicle type?","{""Yes"",""No"",""Sometimes"",""Not sure""}","{""poll-results""}",true
"results_q_10","Do you trust results without moderation?","{""Yes"",""No"",""Sometimes"",""Depends""}","{""poll-results""}",true
"results_q_11","Would you like trend charts for poll answers?","{""Yes"",""No"",""Sometimes"",""Not sure""}","{""poll-results""}",true
"results_q_12","Do you value demographic breakdowns in results?","{""Yes"",""No"",""Sometimes"",""Not sure""}","{""poll-results""}",true
"results_q_13","Would local event filters make results actionable?","{""Yes"",""No"",""Maybe"",""Not sure""}","{""poll-results""}",true
"results_q_14","Do you trust results more when timestamped?","{""Yes"",""No"",""Sometimes"",""Not sure""}","{""poll-results""}",true
"results_q_15","Would you export poll results for reports?","{""Yes"",""No"",""Maybe"",""Not sure""}","{""poll-results""}",true
"results_q_16","Do you prefer to see comments alongside results?","{""Yes"",""No"",""Sometimes"",""Not sure""}","{""poll-results""}",true
"results_q_17","Would you like to compare results between cities?","{""Yes"",""No"",""Maybe"",""Not sure""}","{""poll-results""}",true
"results_q_18","Do you want inline explanations for surprising results?","{""Yes"",""No"",""Sometimes"",""Not sure""}","{""poll-results""}",true
"results_q_19","Would you trust verified votes more?","{""Yes"",""No"",""Sometimes"",""Depends""}","{""poll-results""}",true
"results_q_20","Do you prefer normalized results across different polls?","{""Yes"",""No"",""Sometimes"",""Not sure""}","{""poll-results""}",true
"results_q_21","Would you like contributor-sourced insights with results?","{""Yes"",""No"",""Maybe"",""Not sure""}","{""poll-results""}",true
"results_q_22","Do summary headlines help interpret poll data?","{""Yes"",""No"",""Sometimes"",""Not sure""}","{""poll-results""}",true
"results_q_23","Would you follow a weekly poll-results digest?","{""Yes"",""No"",""Maybe"",""Not sure""}","{""poll-results""}",true
"results_q_24","Do you want to see how many unique voters participated?","{""Yes"",""No"",""Sometimes"",""Not sure""}","{""poll-results""}",true
"results_q_25","Would you like confidence intervals displayed?","{""Yes"",""No"",""Sometimes"",""Not sure""}","{""poll-results""}",true
"results_q_26","Do you use poll results to negotiate vendor terms?","{""Yes"",""No"",""Sometimes"",""Not sure""}","{""poll-results""}",true
"results_q_27","Would you prefer results shown alongside related polls?","{""Yes"",""No"",""Sometimes"",""Not sure""}","{""poll-results""}",true
"results_q_28","Do you like seeing sample-size warnings on small polls?","{""Yes"",""No"",""Sometimes"",""Not sure""}","{""poll-results""}",true
"results_q_29","Would you trust results more with verification badges?","{""Yes"",""No"",""Sometimes"",""Depends""}","{""poll-results""}",true
"results_q_30","Do you prefer a heatmap of popular options by city?","{""Yes"",""No"",""Maybe"",""Not sure""}","{""poll-results""}",true
"results_q_31","Would you like suggested actions based on results?","{""Yes"",""No"",""Sometimes"",""Not sure""}","{""poll-results""}",true
"results_q_32","Do you value community commentary on results?","{""Yes"",""No"",""Sometimes"",""Not sure""}","{""poll-results""}",true
"results_q_33","Would you like an option to subscribe to result updates?","{""Yes"",""No"",""Maybe"",""Not sure""}","{""poll-results""}",true
"results_q_34","Do you prefer raw CSV exports of results?","{""Yes"",""No"",""Sometimes"",""Not sure""}","{""poll-results""}",true
"results_q_35","Would you use results to set internal team policies?","{""Yes"",""No"",""Maybe"",""Not sure""}","{""poll-results""}",true
"results_q_36","Do you want results linked from booking pages?","{""Yes"",""No"",""Maybe"",""Not sure""}","{""poll-results""}",true
